幣別,ISO 代碼,代用碼,有效期至,ISO 代碼的主要 SAP 代碼,長文,短文
ADP,ADP,020,,,安道爾比塞塔 -->〈舊 --> 歐元〉,比塞塔
AED,AED,784,,,阿拉伯聯合大公國〈迪拉姆〉,迪拉姆
AFA,AFA,004,,,阿富汗尼〈舊〉,阿富汗尼
AFN,AFN,971,,,阿富汗尼,阿富汗尼
ALL,ALL,008,,,阿爾巴尼亞〈列克〉,列克
AMD,AMD,051,,,亞美尼亞〈特拉姆〉,特拉姆
ANG,ANG,532,,,西印度群島基爾德,西印度基爾德
AOA,AOA,973,,,安哥拉幣,安哥拉幣
AON,AON,024,,,安哥拉新寬扎〈舊〉,新寬扎
AOR,AOR,982,,,安哥拉新調寬扎〈舊〉,新調寬扎
ARS,ARS,032,,,阿根廷比索,阿根廷比索
ATS,ATS,040,,,奧地利先令〈舊 --> 歐元〉,先令
AUD,AUD,036,,,澳幣,澳幣
AWG,AWG,533,,,阿魯巴弗羅林,阿魯巴弗羅林
AZM,AZM,031,,,亞塞拜然〈曼納特〉〈舊〉,曼納特
AZN,AZN,944,,,亞塞拜然〈曼納特〉,曼納特
BAM,BAM,977,,,波士尼亞及赫塞哥維那可〈轉換馬克〉,轉換馬克
BBD,BBD,052,,,巴貝多〈元〉,元
BDT,BDT,050,,,孟加拉〈塔卡〉,塔卡
BEF,BEF,056,,,比利時法郎〈舊 --> 歐元〉,比利時法郎
BGN,BGN,975,,,保加利亞〈列佛〉,列佛
BHD,BHD,048,,,巴林〈第納爾〉,第納爾
BIF,BIF,108,,,蒲隆地法郎,蒲隆地法郎
BMD,BMD,060,,,百慕達元,百慕達元
BND,BND,096,,,汶萊（元）,元
BOB,BOB,068,,,Boliviano,Boliviano
BRL,BRL,986,,,巴西雷阿爾,雷阿爾
BSD,BSD,044,,,巴哈馬（元）,元
BTN,BTN,064,,,不丹（努爾特魯姆）,努爾特魯姆
BWP,BWP,072,,,波札那（普拉）,普拉
BYB,BYB,112,,,白俄羅斯盧布〈舊〉,白俄羅斯盧布
BYN,BYN,933,,,白俄羅斯盧布〈新〉,新白俄羅斯盧布
BYR,BYR,974,,,白俄羅斯盧布,盧布
BZD,BZD,084,,,伯利茲（元）,元
CAD,CAD,124,,,加幣,加幣
CDF,CDF,976,,,剛果法郎,測試資料
CHF,CHF,756,,,瑞士法郎,瑞士法郎
CLP,CLP,152,,X,智利（比索）,比索
CLP4,CLP,152,,,,
UF,CLP,152,,,,
UTM,CLP,152,,,,
CNY,CNY,156,,X,中國（人民幣）,人民幣
RMB,CNY,156,,,中國人民幣（元）,人民幣（元）
COP,COP,170,,,哥倫比亞（比索）,比索
CRC,CRC,188,,,哥斯大黎加柯朗,哥斯大黎加科朗
CSD,CSD,891,,,塞爾維亞第納爾〈舊〉,塞爾維亞第納爾
CUC,CUC,931,,,可兌換比索,可兌換比索
CUP,CUP,192,,,古巴比索,古巴比索
CVE,CVE,132,,,佛得角（埃斯庫）,埃斯庫多
CYP,CYP,196,,,賽普勒斯鎊〈舊 --> 歐元〉,賽普勒斯鎊
CZK,CZK,203,,,捷克（克隆納）,克朗
DEM,DEM,280,,X,德國馬克〈舊 --> 歐元〉,德國馬克
DEM3,DEM,280,,,〈內部〉德國馬克〈3 位小數位〉,內部德國馬克
DJF,DJF,262,,,吉布地法郎,吉布地法郎
DKK,DKK,208,,,丹麥克隆納,丹麥克隆納
DOP,DOP,214,,,多明尼加比索,多明尼加比索
DZD,DZD,012,,,阿爾及利亞（第納）,第納爾
ECS,ECS,218,,,厄瓜多蘇克雷〈舊 --> 歐元〉,Sucre
EEK,EEK,233,,,愛沙尼亞克朗〈舊 --> 歐元〉,克朗
EGP,EGP,818,,,埃及（鎊）,英鎊
ERN,ERN,232,,,Eritrean Nafka,Nakfa
ESP,ESP,724,,,西班牙比塞塔〈舊 --> 歐元〉,比塞塔
ETB,ETB,230,,,依索比亞（比爾）,比爾
EUR4,EU4,978,,,歐洲（歐元）,
EUR,EUR,978,,,歐洲（歐元）,歐元
FIM,FIM,246,,,芬蘭馬克〈舊 --> 歐元〉,芬蘭馬克
FJD,FJD,242,,,斐濟（元）,元
FKP,FKP,238,,,福克蘭群島鎊,福克蘭群島鎊
FRF,FRF,250,,,法國法郎〈舊 --> 歐元〉,法國法郎
GBP,GBP,826,,,英鎊,英鎊
GEL,GEL,981,,,Georgian Lari,Lari
GHC,GHC,288,,,迦納人西迪〈舊〉,西迪
GHS,GHS,936,,,迦納人西迪,西迪
GIP,GIP,292,,,直布羅陀鎊,直布羅陀鎊
GMD,GMD,270,,,甘比亞（達拉西）,達拉西
GNF,GNF,324,,,幾內亞（法郎）,法郎
GRD,GRD,300,,,希臘德拉克馬〈舊 --> 歐元〉,德拉克馬
GTQ,GTQ,320,,,瓜地馬拉（克札爾）,克札爾
GWP,GWP,624,,,幾內亞比索〈舊 --> 歐元〉,幾內亞比索
GYD,GYD,328,,,蓋亞納幣,蓋亞納幣
HKD,HKD,344,,,香港（港元）,港元
HNL,HNL,340,,,宏都拉斯（羅批拉）,羅批拉
HRK,HRK,191,,,克羅埃西亞（庫納）,庫納
HTG,HTG,332,,,海地（古爾德）,古爾德
HUF,HUF,348,,,匈牙利（佛林特）,佛林特
IDR,IDR,360,,,印尼（盾）,盾
IEP,IEP,372,,,愛爾蘭鎊〈舊 --> 歐元〉,愛爾蘭鎊
ILS,ILS,376,,,以色列（錫克）,錫克
INR,INR,356,,,印度（盧比）,盧比
IQD,IQD,368,,,伊拉克（第納）,第納爾
IRR,IRR,364,,,伊朗（里奧）,里奧
ISK,ISK,352,,,冰島（克隆納）,克朗
ITL,ITL,380,,,義大利里拉〈舊 --> 歐元〉,里拉
JMD,JMD,388,,,牙買加元,牙買加元
JOD,JOD,400,,,約旦第納,約旦第納
JPY,JPY,392,,,日本（日圓）,日圓
KES,KES,404,,,肯亞（先令）,先令
KGS,KGS,417,,,塔及克（索）,索
KHR,KHR,116,,,柬埔寨（里耳）,里耳
KMF,KMF,174,,,科摩羅法郎,科摩羅法郎
KPW,KPW,408,,,北韓圜,北韓圜
KRW,KRW,410,,,南韓圜,南韓圜
KWD,KWD,414,,,科威特（第納）,第納爾
KYD,KYD,136,,,開曼元,開曼元
KZT,KZT,398,,,哈薩克幣,哈薩克幣
LAK,LAK,418,,,寮國幣,寮國幣
LBP,LBP,422,,,黎巴嫩鎊,黎巴嫩鎊
LKR,LKR,144,,,斯里蘭卡盧比,斯里蘭卡盧比
LRD,LRD,430,,,賴比瑞亞元,賴比瑞亞元
LSL,LSL,426,,,賴索托（羅提）,羅提
LTL,LTL,440,,,立陶宛（利塔）,利塔
LUF,LUF,442,,,盧森堡法郎〈舊 --> 歐元〉,盧森堡法郎
LVL,LVL,428,,,拉脫維亞（拉特）,拉特
LYD,LYD,434,,,利比亞第納,利比亞第納
MAD,MAD,504,,,摩洛哥（迪拉姆）,迪拉姆
MDL,MDL,498,,,Moldavian Leu,列伊
MGA,MGA,969,,,馬達加斯加 Ariary,馬達加斯 Ariary
MGF,MGF,450,,,馬達加斯加法郎〈舊〉,馬達加斯加法郎
MKD,MKD,807,,,Macedonian Denar,Maced. Denar
MMK,MMK,104,,,緬甸元,元
MNT,MNT,496,,,蒙古（土格利克）,土格利克
MOP,MOP,446,,,澳門（巴塔卡）,巴塔卡
MRO,MRO,478,,,茅利塔尼亞（歐基亞）,歐基亞
MTL,MTL,470,,,馬爾他里拉〈舊 --> 歐元〉,里拉
MUR,MUR,480,,,模里西斯（盧比）,盧比
MVR,MVR,462,,,馬爾地夫（盧比）,盧比
MWK,MWK,454,,,馬拉威瓦查,馬拉威瓦查
MXN,MXN,484,,,墨西哥（比索）,比索
MYR,MYR,458,,,馬來西亞（馬元）,馬元
MZM,MZM,508,,,莫三比克美提克〈舊〉,美提克
MZN,MZN,943,,,莫三比克〈美提克〉,美提克
NAD,NAD,516,,,那密比亞元,那密比亞元
NGN,NGN,566,,,奈及利亞（奈拉）,奈拉
NIO,NIO,558,,,Nicaraguan Cordoba Oro,Cordoba Oro
NLG,NLG,528,,,荷蘭基爾德〈舊 --> 歐元〉,基爾德
NOK,NOK,578,,,挪威克隆納,挪威克隆納
NPR,NPR,524,,,尼泊爾（盧比）,盧比
NZD,NZD,554,,,紐西蘭元,紐西蘭元
NZD5,NZD,554,,,紐西蘭元,紐西蘭元
OMR,OMR,512,,,阿曼里亞,阿曼里亞
PAB,PAB,590,,,巴拿馬（巴伯亞）,巴伯亞
PEN,PEN,604,,,秘魯（新索耳）,新索耳
PGK,PGK,598,,,巴布亞新幾內亞（基納）,基納
PHP,PHP,608,,,菲律賓（比索）,比索
PKR,PKR,586,,,巴基斯坦（盧比）,盧比
PLN,PLN,985,,,波蘭幣（新）,波蘭幣
PTE,PTE,620,,,葡萄牙埃斯庫多〈舊 --> 歐元〉,埃斯庫多
PYG,PYG,600,,,巴拉圭（固拉尼）,固拉尼
QAR,QAR,634,,,卡達（里奧）,里奧
ROL,ROL,642,,,羅馬尼亞列伊〈舊〉,列伊〈舊〉
RON,RON,946,,,羅馬尼亞〈列伊〉,列伊
RSD,RSD,941,,,塞爾維亞第納爾,塞爾維亞第納爾
RUB,RUB,643,,,俄國（盧布）,盧布
RWF,RWF,646,,,盧安達（法郎）,法郎
SAR,SAR,682,,,沙烏地阿拉伯（黎雅爾）,里奧
SBD,SBD,090,,,所羅門群島元,所羅門群島元
SCR,SCR,690,,,塞昔爾（盧比）,盧比
SDD,SDD,736,,,蘇丹第納爾〈舊〉,第納爾
SDG,SDG,938,,,蘇丹鎊,英鎊
SDP,SDP,736,,,蘇丹鎊〈直到 1992〉,英鎊
SEK,SEK,752,,,瑞典克隆納,瑞典克隆納
SGD,SGD,702,,,新加坡元,新加坡元
SHP,SHP,654,,,聖赫勒拿島鎊,聖赫勒拿島鎊
SIT,SIT,705,,,斯洛維尼亞特拉〈舊 --> 歐元〉,特拉
SKK,SKK,703,,,斯洛伐克克朗〈舊 --> 歐元〉,克朗
SLL,SLL,694,,,塞拉里歐（里歐）,里歐
SOS,SOS,706,,,索馬利亞（先令）,先令
SRD,SRD,968,,,蘇利南美元,蘇利南美元
SRG,SRG,740,,,蘇利南基爾德〈舊〉,蘇利南基爾德
SSP,SSP,728,,,南蘇丹鎊,英鎊
STD,STD,678,,,聖多美/普林西比（度伯拉）,度伯拉
SVC,SVC,222,,,薩爾瓦多（可隆）,可隆
SYP,SYP,760,,,敘利亞鎊,敘利亞鎊
SZL,SZL,748,,,史瓦濟蘭（里那根提）,里那根提
THB,THB,764,,,泰國（銖）,銖
TJR,TJR,762,,,塔吉克盧布（舊）,盧布
TJS,TJS,972,,,塔吉克 Somoni,Somoni
TMM,TMM,795,,,土庫曼曼納特〈舊〉,曼納特〈舊〉
TMT,TMT,934,,,土庫曼曼納特,曼納特
TND,TND,788,,,突尼西亞（第納）,第納爾
TOP,TOP,776,,,東加（巴安佳）,巴安佳
TPE,TPE,626,,,帝汶埃斯固多 --> 美金,帝汶埃斯固多
TRL,TRL,792,,,土耳其里拉〈舊〉,里拉〈舊〉
TRY,TRY,949,,,土耳其里拉,里拉
TTD,TTD,780,,,千里達元,千里達元
TWD,TWD,901,,,新台幣,元
TZS,TZS,834,,,坦尚尼亞（先令）,先令
UAH,UAH,980,,,烏克蘭 Hryvnia,Hryvnia
UGX,UGX,800,,,烏干達（先令）,先令
USD,USD,840,,X,美元,美元
USDN,USD,840,,,（內部）美元﹝小數五位﹞,美元
UYU,UYU,858,,,烏拉圭比索,比索
UZS,UZS,860,,,烏茲別克斯坦（索）,總計
VEB,VEB,862,,,委內瑞拉包利爾〈舊〉,包利爾〈舊〉
VEF,VEF,937,,,委內瑞拉〈玻利瓦幣〉,玻利瓦幣
VND,VND,704,,,越南（盾）,盾
VUV,VUV,548,,,瓦納度（瓦土）,瓦土
WST,WST,882,,,薩摩亞（塔拉）,塔拉
XAF,XAF,950,,,加彭（CFA 法郎 BEAC）,CFA 法郎 BEAC
XCD,XCD,951,,,東加勒比海（元）,元
XEU,XEU,954,,,歐洲幣別單位（E.C.U.）,（E.C.U.）
XOF,XOF,952,,,貝南（CFA 法郎）,CFA 法郎
CFP,XPF,953,,,法國法郎（太平洋島）,法國法郎（PAC）
XPF,XPF,953,,X,CFP 法郎,法郎
YER,YER,886,,,葉門里耳,葉門里耳
YUM,YUM,891,,,新南斯拉夫第納爾〈舊〉,New Dinar
ZAR,ZAR,710,,,南非（蘭德）,蘭德
ZMK,ZMK,894,,,尚比亞〈舊瓦查〉,瓦查
ZMW,ZMW,967,,,尚比亞〈新瓦查〉,瓦查
ZRN,ZRN,180,,,薩伊（舊）,薩伊
ZWD,ZWD,716,,,辛巴威元〈舊〉,辛巴威元
ZWL,ZWL,932,,,辛巴威元〈新〉,辛巴威元
ZWN,ZWN,942,,,辛巴威元〈舊〉,辛巴威元
ZWR,ZWR,935,,,辛巴威元〈舊〉,辛巴威元
